ID	CA	ES	FR	EN	CAS	ACCIO_1	ACCIO_2	ACCIO_3
1	abacavir	abacavir	abacavir	abacavir	136470-78-5	antiretroviral		
2	abamectina	abamectina	abamectine	abamectin	65195-56-4	antihelmíntic		
3	abarelix	abarelix	abarélix	abarelix	183552-38-7	antagonista de la gonadorelina		
4	abatacept	abatacept	abatacept	abatacept	332348-12-6	immunomodulador		
5	abciximab	abciximab	abciximab	abciximab	143653-53-6	antiisquèmic		
6	abecarnil	abecarnilo	abécarnil	abecarnil	111841-85-1	ansiolític	anticonvulsiu	
7	abemaciclib	abemaciclib	abémaciclib	abemaciclib	1231929-97-7	antineoplàstic		
8	abetimús	abetimús	abétimus	abetimus	167362-48-3	immunosupressor		
9	abiraterona	abiraterona	abiratérone	abiraterone	154229-19-3	antineoplàstic		
10	acadesina	acadesina	acadésine	acadesine	2627-69-2	antiisquèmic		
11	acamprosat de calci	acamprosato de calcio	acamprosate calcique	acamprosate calcium	77337-76-9	deshabituador de l'alcohol		
12	acarbosa	acarbosa	acarbose	acarbose	56180-94-0	hipoglucemiant oral		
13	acebutolol	acebutolol	acébutolol	acebutolol	37517-30-9	blocador d'adrenoreceptors beta		
14	acecaïnida	acecainida	acécaïnide	acecainide	32795-44-1	antiarrítmic		
15	acecarbromal	acecarbromal	acécarbromal	acecarbromal	77-66-7	hipnòtic sedant		
16	aceclofenac	aceclofenaco	acéclofénac	aceclofenac	89796-99-6	antiinflamatori		
17	acediasulfona sòdica	acediasulfona de sodio	acédiasulfone sodique	acediasulfone sodium	127-60-6	antiinfecciós		
18	acedobèn	acedobén	acédobène	acedoben	556-08-1	antivíric		
19	acefil·lina piperazina	acefilina piperazina	acéfylline pipérazine	acefylline piperazine	18833-13-1	antiasmàtic	diürètic	
20	aceglutamida	aceglutamida	acéglutamide	aceglutamide	2490-97-3	psicoestimulant		
21	acemannan	acemanán	acémannan	acemannan	110042-95-0	antivíric		
22	acenocumarol	acenocumarol	acénocoumarol	acenocoumarol	152-72-7	antagonista de la vitamina K	anticoagulant	
23	aceprometazina	aceprometazina	acéprométazine	aceprometazine	13461-01-3	neurolèptic		
24	acesulfam potàssic	acesulfamo de potasio	acésulfame potassique	acesulfame potassium	33665-90-6	edulcorant		
25	acetarsol	acetarsol	acétarsol	acetarsol	97-44-9	tricomonicida		
26	acetazolamida	acetazolamida	acétazolamide	acetazolamide	59-66-5	diürètic inhibidor de l'anhidrasa carbònica		
27	acetiamina	acetiamina	acétiamine	acetiamine	299-89-8	emprat en la prevenció i el tractament del dèficit de vitamina B1		
28	acetilcisteïna	acetilcisteína	acétylcystéine	acetylcysteine	616-91-1	mucolític		
29	acetildigitoxina	acetildigitoxina	acétildigitoxine	acetyldigitoxin	25395-32-8	glucòsid cardiotònic		
30	acetil·leucina	acetileucina	acétylleucine	acetylleucine	99-15-0	antiemètic		
31	acetohexamida	acetohexamida	acétohexamide	acetohexamide	968-81-0	hipoglucemiant oral		
32	acetònid de fluclorolona	acetónido de fluclorolona	acétonide de fluclorolone	fluclorolone acetonide	3693-39-8	glucocorticoide		
33	acetònid de fluocinolona	acetónido de fluocinolona	acétonide de fluocinolone	fluocinolone acetonide	67-73-2	glucocorticoide		
34	acevaltrat	acevaltrato	acévaltrate	acevaltrate	25161-41-5	hipnòtic sedant		
35	aciclovir	aciclovir	aciclovir	aciclovir	59277-89-3	antivíric		
36	àcid acetohidroxàmic	ácido acetohidroxámico	acide acétohydroxamique	acetohydroxamic acid	546-88-3	enzim inhibidor de la ureasa		
37	àcid acexàmic	ácido acexámico	acide acexamique	acexamic acid	57-08-9	antiulcerós		
38	àcid aminocaproic	ácido aminocaproico	acide aminocaproïque	aminocaproic acid	60-32-2	hemostàtic		
39	àcid ascòrbic	ácido ascórbico	acide ascorbique	ascorbic acid	50-81-7	emprat en la prevenció i el tractament del dèficit de vitamina C		
40	àcid aspàrtic	ácido aspártico	acide aspartique	aspartic acid	6899-03-2	aminoàcid		
41	àcid azelaic	ácido azelaico	acide azélaïque	azelaic acid	123-99-9	antiacneic	despigmentant	
42	àcid carglúmic	ácido carglúmico	acide carglumique	carglumic acid	1188-38-1	antihiperamonièmic		
43	àcid cicloxílic	ácido cicloxílico	acide cicloxilique	cicloxilic acid	57808-63-6	colerètic	hepatoprotector	
44	àcid cinamètic	ácido cinamético	acide cinamétique	cinametic acid	35703-32-3	colerètic		
45	àcid clavulànic	ácido clavulánico	acide clavulanique	clavulanic acid	58001-44-8	coadjuvant farmacològic	enzim inhibidor de la ß-lactamasa	
46	àcid clodrònic	ácido clodrónico	acide clodronique	clodronic acid	10596-23-3	inhibidor de la resorció òssia		
47	àcid deshidrocòlic	ácido deshidrocólico	acide déhydrocholique	dehydrocholic acid	81-23-2	hidrocolerètic		
48	àcid dimecròtic	ácido dimecrótico	acide dimécrotique	dimecrotic acid	7706-67-4	colerètic		
49	àcid edètic	ácido edético	acide édétique	edetic acid	60-00-4	antídot	coadjuvant tecnològic	quelant
50	àcid etacrínic	ácido etacrínico	acide étacrynique	etacrynic acid	58-54-8	diürètic de nansa		
51	àcid etidrònic	ácido etidrónico	acide étidronique	etidronic acid	2809-21-4	inhibidor de la resorció òssia		
52	àcid flufenàmic	ácido flufenámico	acide flufénamique	flufenamic acid	530-78-9	analgèsic	antiinflamatori	
53	àcid fòlic	ácido fólico	acide folique	folic acid	59-30-3	emprat en la prevenció i el tractament del dèficit de vitamines del complex B		
54	àcid gadobènic	ácido gadobénico	acide gadobénique	gadobenic acid	113662-23-0	potenciador del contrast en ressonància magnètica nuclear		
55	àcid gadopentètic	ácido gadopentético	acide gadopentétique	gadopentetic acid	80529-93-7	potenciador del contrast en ressonància magnètica nuclear		
56	àcid gadotèric	ácido gadotérico	acide gadotérique	gadoteric acid	72573-82-1	potenciador del contrast en ressonància magnètica nuclear		
57	àcid gadoxètic	ácido gadoxético	acide gadoxétique	gadoxetic acid	135326-11-3	potenciador del contrast en ressonància magnètica nuclear		
58	àcid gamolènic	ácido gamolénico	acide gamolénique	gamolenic acid	506-26-3	àcid gras essencial de la sèrie omega-6		
59	àcid glutàmic	ácido glutámico	acide glutamique	glutamic acid	56-86-0	aminoàcid		
60	àcid incadrònic	ácido incadrónico	acide incadronique	incadronic acid	124351-85-5	inhibidor de la resorció òssia		
61	àcid iocetàmic	ácido iocetámico	acide iocétamique	iocetamic acid	16034-77-8	emprat com a element de contrast en colecistocolangiografia		
62	àcid iodoxàmic	ácido iodoxámico	acide iodoxamique	iodoxamic acid	31127-82-9	emprat com a element de contrast en colecistocolangiografia		
